"id","keywords_SplitResultList"
862,"931,jealousy"
862,"4290,toy"
862,"5202,boy"
862,"6054,friendship"
862,"9713,friends"
862,"9823,rivalry"
862,"165503,boy next door"
862,"170722,new toy"
862,"187065,toy comes to life"
8844,"10090,board game"
8844,"10941,disappearance"
8844,"15101,based on children's book"
8844,"33467,new home"
8844,"158086,recluse"
8844,"158091,giant insect"
15602,"1495,fishing"
15602,"12392,best friend"
15602,"179431,duringcreditsstinger"
15602,"208510,old men"
31357,"818,based on novel"
31357,"10131,interracial relationship"
31357,"14768,single mother"
31357,"15160,divorce"
31357,"33455,chick flick"
11862,"1009,baby"
11862,"1599,midlife crisis"
11862,"2246,confidence"
11862,"4995,aging"
11862,"5600,daughter"
11862,"10707,mother daughter relationship"
11862,"13149,pregnancy"
11862,"33358,contraception"
11862,"170521,gynecologist"
949,"642,robbery"
949,"703,detective"
949,"974,bank"
949,"1523,obsession"
949,"3713,chase"
949,"7281,shooting"
949,"9727,thief"
949,"9812,honor"
949,"9826,murder"
949,"9937,suspense"
949,"10051,heist"
949,"10085,betrayal"
949,"10594,money"
949,"10726,gang"
949,"15076,cat and mouse"
949,"18023,criminal mastermind"
949,"34117,cult film"
949,"156121,ex-con"
949,"159343,heist movie"
949,"159434,one last job"
949,"167104,loner"
949,"192261,bank job"
949,"207268,neo-noir"
949,"208009,gun fight"
949,"214983,crime epic"
11860,"90,paris"
11860,"380,brother brother relationship"
11860,"2072,chauffeur"
11860,"9398,long island"
11860,"9492,fusion"
11860,"33626,millionaire"
45325,"[]"
9091,"949,terrorist"
9091,"1562,hostage"
9091,"1653,explosive"
9091,"193533,vice president"
710,"701,cuba"
710,"769,falsely accused"
710,"1308,secret identity"
710,"2812,computer virus"
710,"3268,secret base"
710,"3272,secret intelligence service"
710,"3278,kgb"
710,"3376,satellite"
710,"3531,special car"
710,"3560,cossack"
710,"3561,electromagnetic pulse"
710,"3562,time bomb"
710,"3563,st. petersburg russia"
710,"3564,ejection seat"
710,"193008,red army"
9087,"833,white house"
9087,"840,usa president"
9087,"1605,new love"
9087,"33476,widower"
9087,"211505,wildlife conservation"
12110,"3633,dracula"
12110,"11931,spoof"
21032,"1994,wolf"
21032,"6411,dog-sledding race"
21032,"9880,alaska"
21032,"15162,dog"
21032,"15169,goose"
21032,"158175,bear attack"
21032,"158370,dog sled"
21032,"158371,frozen lake"
10858,"840,usa president"
10858,"2946,presidential election"
10858,"4240,watergate scandal"
10858,"5565,biography"
10858,"6086,government"
10858,"6165,historical figure"
1408,"911,exotic island"
1408,"1454,treasure"
1408,"1969,map"
1408,"3799,ship"
1408,"5470,scalp"
1408,"12988,pirate"
524,"383,poker"
524,"726,drug abuse"
524,"1228,1970s"
524,"2635,overdose"
524,"33625,illegal prostitution"
4584,"420,bowling"
4584,"818,based on novel"
4584,"964,servant"
4584,"2755,country life"
4584,"7564,jane austen"
4584,"10911,inheritance"
4584,"11109,military officer"
4584,"15060,period drama"
4584,"156507,rainstorm"
4584,"156510,horse and carriage"
4584,"156512,decorum"
5,"612,hotel"
5,"613,new year's eve"
5,"616,witch"
5,"622,bet"
5,"922,hotel room"
5,"2700,sperm"
5,"12670,los angeles"
5,"160488,hoodlum"
5,"187056,woman director"
5,"198129,episode film"
9273,"409,africa"
9273,"1551,indigenous"
9273,"2526,human animal relationship"
9273,"5155,bat"
11517,"380,brother brother relationship"
11517,"1552,subway"
11517,"14512,new york city"
11517,"155735,new york subway"
11517,"156120,train robbery"
8012,"395,gambling"
8012,"416,miami"
8012,"818,based on novel"
8012,"8438,job"
8012,"9826,murder"
8012,"9935,travel"
8012,"10391,mafia"
8012,"10594,money"
8012,"11061,debt"
8012,"11578,mobster"
8012,"12094,business"
8012,"12396,hollywood"
8012,"13142,gangster"
